"date","visits"
2019-01-01,47
2019-01-02,44
2019-01-03,49
2019-01-04,44
2019-01-05,36
2019-01-07,46
2019-01-08,40
2019-01-09,49
2019-01-10,32
2019-01-11,36
2019-01-12,44
2019-01-14,47
2019-01-15,46
2019-01-16,45
2019-01-17,46
2019-01-18,40
2019-01-19,32
2019-01-21,50
2019-01-22,57
2019-01-23,33
2019-01-24,38
2019-01-25,37
2019-01-26,38
2019-01-28,37
2019-01-29,51
2019-01-30,40
2019-01-31,43
2019-02-01,41
2019-02-02,34
2019-02-04,29
2019-02-05,50
2019-02-06,46
2019-02-07,51
2019-02-08,49
2019-02-09,28
2019-02-11,45
2019-02-12,45
2019-02-13,40
2019-02-14,37
2019-02-15,35
2019-02-16,23
2019-02-17,2
2019-02-18,41
2019-02-19,41
2019-02-20,49
2019-02-21,35
2019-02-22,33
2019-02-23,25
2019-02-25,36
2019-02-26,42
2019-02-27,49
2019-02-28,38
2019-03-01,39
2019-03-02,27
2019-03-04,41
2019-03-05,60
2019-03-06,44
2019-03-07,35
2019-03-08,36
2019-03-09,25
2019-03-11,42
2019-03-12,54
2019-03-13,44
2019-03-14,36
2019-03-15,43
2019-03-16,32
2019-03-17,6
2019-03-18,55
2019-03-19,29
2019-03-20,39
2019-03-21,38
2019-03-22,44
2019-03-23,34
2019-03-25,28
2019-03-26,38
2019-03-27,45
2019-03-28,31
2019-03-29,37
2019-03-30,27
2019-04-01,41
2019-04-02,40
2019-04-03,38
2019-04-04,35
2019-04-05,46
2019-04-06,38
2019-04-08,28
2019-04-09,42
2019-04-10,37
2019-04-11,27
2019-04-12,30
2019-04-13,32
2019-04-15,35
2019-04-16,45
2019-04-17,33
2019-04-18,33
2019-04-19,30
2019-04-20,27
2019-04-22,44
2019-04-23,24
2019-04-24,46
2019-04-25,34
2019-04-26,38
2019-04-27,17
2019-04-29,43
2019-04-30,35
2019-05-01,36
2019-05-02,41
2019-05-03,33
2019-05-04,32
2019-05-05,5
2019-05-06,32
2019-05-07,39
2019-05-08,33
2019-05-09,33
2019-05-10,41
2019-05-11,26
2019-05-13,47
2019-05-14,38
2019-05-15,48
2019-05-16,35
2019-05-17,37
2019-05-18,36
2019-05-19,6
2019-05-20,43
2019-05-21,36
2019-05-22,36
2019-05-23,40
2019-05-24,35
2019-05-25,24
2019-05-27,35
2019-05-28,41
2019-05-29,36
2019-05-30,36
2019-05-31,45
2019-06-01,23
2019-06-03,44
2019-06-04,42
2019-06-05,38
2019-06-06,30
2019-06-07,38
2019-06-08,22
2019-06-10,39
2019-06-11,39
2019-06-12,49
2019-06-13,42
2019-06-14,40
2019-06-15,30
2019-06-17,44
2019-06-18,34
2019-06-19,49
2019-06-20,51
2019-06-21,41
2019-06-22,36
2019-06-24,56
2019-06-25,36
2019-06-26,36
2019-06-27,51
2019-06-28,38
2019-06-29,37
2019-07-01,33
2019-07-02,35
2019-07-03,49
2019-07-04,43
2019-07-05,30
2019-07-06,36
2019-07-07,0
2019-07-08,42
2019-07-09,49
2019-07-10,44
2019-07-11,43
2019-07-12,41
2019-07-13,40
2019-07-15,43
2019-07-16,43
2019-07-17,47
2019-07-18,60
2019-07-19,31
2019-07-20,30
2019-07-21,2
2019-07-22,44
2019-07-23,46
2019-07-24,42
2019-07-25,39
2019-07-26,38
2019-07-27,22
2019-07-29,41
2019-07-30,51
2019-07-31,45
2019-08-01,35
2019-08-02,60
2019-08-03,42
2019-08-05,44
2019-08-06,54
2019-08-07,43
2019-08-08,52
2019-08-09,44
2019-08-10,34
